Clip,SourceFile,Length,FrameRate,Frames,Looping,HasRootCurves,RootXZNet,RootXZPath,RootYNet,TargetLength,SpeedMultiplier,Flag,EventCount,Events
Idle,K_Idle.fbx,3,30,90,yes,yes,0,0.016,0,,,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
K_Sp_Skill_2,K_Sp_Skill_2.fbx,3.867,30,116,no,yes,5.18,6.275,0.001,,,,5,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath) | 0.405s SwitchSocket(To_Hand_R_Socket-Blade, To_Hand_L_Socket-Sheath) | 2.356s SwitchSocket(To_add_weapon_r-Blade, To_Hand_L_Socket-Sheath) | 3.255s SwitchSocket(To_Katana_Close-Blade, To_add_weapon_r-Sheath) | 3.474s SwitchSocket(To_Hand_L_Socket-Sheath)"
Put,K_Put.fbx,1.667,30,50,no,yes,0.035,0.382,-0.001,0.45,3.704,RAISE TARGET,3,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath) | 0.7s SwitchSocket(To_Katana_Close-Blade, To_add_weapon_r-Sheath) | 1.376s SwitchSocket(To_Katana_Close-Blade, To_Put_Socket_Katana-Sheath)"
Quickshift_B,K_QuickShift_B.fbx,1,30,30,no,yes,2.821,3.426,0.001,0.44,2.273,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Quickshift_F,K_QuickShift_F.fbx,1,30,30,no,yes,2.845,3.063,0,0.44,2.273,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Quickshift_L,K_QuickShift_L.fbx,1,30,30,no,yes,3.13,3.257,0,0.44,2.273,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Quickshift_R,K_QuickShift_R.fbx,1,30,30,no,yes,2.99,3.313,-0.002,0.44,2.273,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Run,K_Run.fbx,0.667,30,20,yes,yes,3.185,3.186,0,,,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Sp_Idle,K_Sp_Idle.fbx,2.5,30,75,yes,yes,0,0.013,0,,,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Sp_Run,K_Sp_Run.fbx,0.867,30,26,yes,yes,2.497,2.499,0,,,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Sp_Skill1,K_Sp_Skill_1.fbx,3.2,30,96,no,yes,1.964,2.552,0,0.97,3.299,RAISE TARGET,5,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath) | 0.429s SwitchSocket(To_Hand_R_Socket-Blade, To_Hand_L_Socket-Sheath) | 1.968s SwitchSocket(To_add_weapon_r-Blade, To_Hand_L_Socket-Sheath) | 2.692s SwitchSocket(To_Katana_Close-Blade, To_add_weapon_r-Sheath) | 2.872s SwitchSocket(To_Hand_L_Socket-Sheath)"
Sp_Skill3,K_Sp_Skill_3.fbx,4.5,60,270,no,yes,4.44,5.974,0,1.45,3.103,RAISE TARGET,5,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath) | 0.662s SwitchSocket(To_Hand_R_Socket-Blade) | 3.112s SwitchSocket(To_add_weapon_r-Blade,To_add_weapon_r-Sheath) | 3.38s SwitchSocket(To_Katana_Close-Blade) | 3.591s SwitchSocket(To_Hand_L_Socket-Sheath)"
Sp_TurnL,K_Sp_Turn_L.fbx,0.667,30,20,no,yes,0.068,0.621,0,,,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Sp_TurnR,K_Sp_Turn_R.fbx,0.667,30,20,no,yes,0.068,0.564,0,,,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Sp_Walk,K_Sp_Walk.fbx,1.133,30,34,yes,yes,1.841,1.843,0,,,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Stun,K_Stun.fbx,2,30,60,yes,yes,0,0.144,0,,,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Take,K_Take.fbx,1.733,30,52,no,yes,0.039,0.459,0.001,0.45,3.852,RAISE TARGET,2,"0s SwitchSocket(To_Put_Socket_Katana-Sheath, To_Katana_Close-Blade) | 0.157s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Walk,K_Walk.fbx,1.133,30,34,yes,yes,1.753,1.754,0,,,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
